episode,reward,avg_loss,avg_qmax,epsilon
0,-1249.3675,786.3871,0.0000,0.9950
1,-24.3548,0.0000,0.0000,0.9900
2,-943.1729,774.1216,0.0000,0.9851
3,-5.5709,0.0000,0.0000,0.9801
4,-124.8623,1373.8124,0.0344,0.9752
5,-6.4631,0.0000,0.0000,0.9704
6,-700.8641,5.8129,0.0580,0.9655
7,-8.3968,0.0000,0.0000,0.9607
8,507.4896,9.4066,-0.0451,0.9559
9,-1.7239,0.0000,0.0000,0.9511
10,-964.6285,82.0955,-0.5226,0.9464
11,-3.9243,0.0000,0.0000,0.9416
12,197.4488,4431.3099,-0.3325,0.9369
13,-10.5175,0.0000,0.0000,0.9322
14,50.8614,269.2350,-0.3346,0.9276
15,-0.1078,0.0000,0.0000,0.9229
16,292.1633,11.2875,-0.0488,0.9183
17,-4.9430,0.0000,0.0000,0.9137
18,-434.1896,6.2945,-0.2814,0.9092
19,-8.3019,0.0000,-0.4113,0.9046
20,-445.5426,802.8674,-0.4195,0.9001
21,-7.0688,0.0000,0.0000,0.8956
22,-487.0290,1276.5175,-0.2720,0.8911
23,-4.9040,0.0000,0.0000,0.8867
24,275.1147,1092.3519,-0.2417,0.8822
25,-1.8236,0.0000,0.0000,0.8778
26,-17.5782,1061.9194,-0.1655,0.8734
27,-5.3364,0.0000,0.0000,0.8691
28,-530.4353,25.8564,-0.3933,0.8647
29,-10.3572,0.0000,0.0000,0.8604
30,62.9225,9.1402,-0.1897,0.8561
31,-0.4847,0.0000,-0.2935,0.8518
32,-46.5863,23.3322,-0.2746,0.8475
33,-5.3507,0.0000,0.0000,0.8433
34,-466.0230,555.5674,-0.1740,0.8391
35,0.4086,842.2407,0.0000,0.8349
36,-529.5390,40.4713,-0.2723,0.8307
37,-7.4273,0.0000,0.0000,0.8266
38,-929.4822,354.3791,-0.0398,0.8224
39,-1.2330,0.0000,0.0000,0.8183
40,78.5574,11.2526,-0.2602,0.8142
41,-4.6296,0.0000,-0.4132,0.8102
42,-671.4766,59.7829,-0.6969,0.8061
43,-11.2108,0.0000,0.0000,0.8021
44,-643.8960,20.6009,-0.2965,0.7981
45,-0.2635,0.0000,0.0000,0.7941
46,-54.1550,375.3519,-0.3411,0.7901
47,-3.8438,0.0000,0.0000,0.7862
48,-27.4250,5.3494,-0.1421,0.7822
49,-4.3774,0.0000,0.0000,0.7783
50,64.1496,38.7714,-0.8986,0.7744
51,-0.7674,0.0000,0.0000,0.7705
52,-68.2440,3700.8062,-0.1696,0.7667
53,-4.7341,0.0000,-0.2653,0.7629
54,-305.3435,6.8539,0.0626,0.7590
