episode,avg_reward,avg_loss,avg_qmax,epsilon
0,nan,0.0000,0.0000,0.9950
1,-0.2009,0.0000,0.0000,0.9900
2,-0.6146,0.0000,0.0000,0.9851
3,-0.1827,0.0000,0.0000,0.9801
4,-1.0743,0.0000,0.0000,0.9752
5,-0.4509,0.0000,0.0000,0.9704
6,0.1448,0.0000,0.0000,0.9655
7,0.0000,0.0000,0.0000,0.9607
8,-1.5407,nan,nan,0.9559
9,-0.8565,0.0000,0.0000,0.9511
10,-0.3589,0.0000,nan,0.9464
11,-0.4941,0.0000,0.0000,0.9416
12,0.0037,0.0000,nan,0.9369
13,2.5095,0.0000,0.0000,0.9322
14,-0.4407,0.0000,nan,0.9276
15,-0.1360,0.0000,0.0000,0.9229
16,-0.8921,0.0000,nan,0.9183
17,-0.9976,0.0000,0.0000,0.9137
18,-0.5044,nan,nan,0.9092
19,0.1060,0.0000,0.0000,0.9046
20,-1.7423,0.0000,0.0000,0.9001
21,0.9206,0.0000,0.0000,0.8956
22,-0.0304,0.0000,nan,0.8911
23,-0.4037,0.0000,0.0000,0.8867
24,0.0143,0.0000,nan,0.8822
25,-0.1190,0.0000,0.0000,0.8778
26,-0.5870,nan,nan,0.8734
27,-1.0040,0.0000,0.0000,0.8691
28,0.0039,0.0000,nan,0.8647
29,-1.1684,0.0000,0.0000,0.8604
30,-0.0699,0.0000,nan,0.8561
31,0.0000,0.0000,0.0000,0.8518
32,-0.5138,0.0000,nan,0.8475
33,-0.0052,0.0000,0.0000,0.8433
34,-0.6648,0.0000,nan,0.8391
35,0.3102,0.0000,0.0000,0.8349
36,-1.2161,nan,nan,0.8307
37,-0.8196,0.0000,0.0000,0.8266
38,-0.4123,0.0000,nan,0.8224
39,-0.9065,0.0000,0.0000,0.8183
40,-0.1651,0.0000,nan,0.8142
41,-0.9037,0.0000,0.0000,0.8102
42,-1.1208,0.0000,nan,0.8061
43,-0.3383,0.0000,0.0000,0.8021
44,0.0205,nan,nan,0.7981
45,0.9443,0.0000,0.0000,0.7941
46,0.3686,0.0000,nan,0.7901
47,-0.0721,0.0000,nan,0.7862
