2025-06-07 22:02:17,480 Initialized agent with reward_scale=10.0, norm_alpha=0.01
2025-06-07 22:02:19,454 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,508 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,555 step=0, reward=-0.0344, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,596 step=0, reward=0.0308, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,638 step=0, reward=0.0231, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,679 step=0, reward=-0.0180, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,732 step=0, reward=-0.2285, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,780 step=0, reward=-0.4949, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,830 step=0, reward=-0.5574, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,876 step=0, reward=-0.7874, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,922 step=0, reward=-0.6545, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,968 step=0, reward=-0.6361, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,010 step=0, reward=-0.8421, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,050 step=0, reward=-0.6651, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,106 step=0, reward=-0.9776, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,148 step=0, reward=-0.7993, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,269 step=0, reward=-0.2115, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,744 step=0, reward=10.7849, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,783 step=0, reward=0.0223, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,823 step=0, reward=0.0812, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,872 step=0, reward=0.0512, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,914 step=0, reward=0.0453, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,962 step=0, reward=-0.1541, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,005 step=0, reward=-0.3145, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,065 step=0, reward=-0.4197, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,108 step=0, reward=-0.5349, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,151 step=0, reward=-0.3917, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,199 step=0, reward=-0.8233, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,242 step=0, reward=-0.6646, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,289 step=0, reward=-0.8302, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,342 step=0, reward=-0.3857, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,384 step=0, reward=-0.5586, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,436 step=0, reward=-0.9006, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,474 step=0, reward=-0.4072, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,586 step=0, reward=-0.3646, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,065 step=0, reward=7.3601, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,114 step=0, reward=0.0759, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,159 step=0, reward=0.0025, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,206 step=0, reward=-0.0913, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,255 step=0, reward=-0.3329, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,300 step=0, reward=-0.3471, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,345 step=0, reward=-0.5035, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,387 step=0, reward=-0.2440, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,438 step=0, reward=-0.9305, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,488 step=0, reward=-1.1285, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,533 step=0, reward=-0.7660, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,579 step=0, reward=0.3775, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,624 step=0, reward=-1.4180, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,674 step=0, reward=-1.4441, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,783 step=0, reward=0.0785, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,267 step=0, reward=-4.3852, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,313 step=0, reward=0.3274, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,362 step=0, reward=1.1084, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,404 step=0, reward=0.2974, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,452 step=0, reward=1.2961, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,502 step=0, reward=0.6879, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,550 step=0, reward=0.1889, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,596 step=0, reward=-0.5834, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,646 step=0, reward=-0.9038, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,692 step=0, reward=-0.5258, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,736 step=0, reward=-0.8876, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,779 step=0, reward=-1.1819, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,825 step=0, reward=-0.5212, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,873 step=0, reward=-1.2535, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,921 step=0, reward=-1.2876, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,960 step=0, reward=-0.3108, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:27,068 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,568 step=0, reward=-6.9595, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,625 step=0, reward=0.0516, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,672 step=0, reward=0.1660, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,720 step=0, reward=0.1349, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,769 step=0, reward=0.1706, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,812 step=0, reward=0.2600, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,867 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,910 step=0, reward=-0.1019, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,953 step=0, reward=-0.2811, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,991 step=0, reward=-0.3980, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,037 step=0, reward=-0.2954, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,081 step=0, reward=-0.2459, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,129 step=0, reward=-0.6769, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,187 step=0, reward=-0.9780, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,231 step=0, reward=-0.2118, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,280 step=0, reward=-0.9425, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,386 step=0, reward=-0.0104, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:30,919 step=0, reward=-10.0714, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:30,966 step=0, reward=0.0185, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,017 step=0, reward=0.3901, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,067 step=0, reward=0.7115, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,116 step=0, reward=0.6165, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,164 step=0, reward=0.6054, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,224 step=0, reward=0.7131, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,274 step=0, reward=0.4427, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,330 step=0, reward=0.5979, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,381 step=0, reward=0.6523, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,436 step=0, reward=0.3426, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,487 step=0, reward=0.7742, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,529 step=0, reward=0.5371, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,584 step=0, reward=0.2494, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,632 step=0, reward=-0.6709, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,686 step=0, reward=-0.3646, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,735 step=0, reward=-0.6129, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,791 step=0, reward=-0.9261, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,837 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,880 step=0, reward=-1.2346, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,922 step=0, reward=-1.1663, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,966 step=0, reward=-0.2316, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:32,073 step=0, reward=-0.0716, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,598 step=0, reward=10.8644, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,647 step=0, reward=0.0021, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,696 step=0, reward=0.0567, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,737 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,784 step=0, reward=-0.1200, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,832 step=0, reward=-0.3303, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,882 step=0, reward=-0.4067, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,926 step=0, reward=-0.5472, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:33,972 step=0, reward=-0.6585, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,020 step=0, reward=-0.7500, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,068 step=0, reward=-0.7433, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,115 step=0, reward=-1.0250, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,164 step=0, reward=-0.5909, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,220 step=0, reward=-1.0193, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,271 step=0, reward=-0.0049, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:34,385 step=0, reward=-1.2033, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:35,916 step=0, reward=-3.3225, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:35,958 step=0, reward=-0.1134, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,016 step=0, reward=-0.3763, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,065 step=0, reward=-0.2444, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,114 step=0, reward=-0.2299, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,162 step=0, reward=-0.4154, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,216 step=0, reward=-0.4437, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,264 step=0, reward=-0.3597, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,310 step=0, reward=-0.9178, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,361 step=0, reward=-0.8148, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,409 step=0, reward=-1.2162, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,456 step=0, reward=-0.6374, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:36,579 step=0, reward=-0.0064, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,132 step=0, reward=6.3627, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,181 step=0, reward=0.2126, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,236 step=0, reward=0.6044, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,282 step=0, reward=0.8450, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,329 step=0, reward=0.9013, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,381 step=0, reward=-0.7751, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,448 step=0, reward=-1.2021, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,494 step=0, reward=-0.6028, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,546 step=0, reward=-0.9448, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,588 step=0, reward=-0.9352, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,637 step=0, reward=-0.9629, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,684 step=0, reward=-1.2809, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,738 step=0, reward=-0.7846, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:38,852 step=0, reward=-0.0814, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,397 step=0, reward=-2.8954, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,443 step=0, reward=-0.0184, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,490 step=0, reward=0.1233, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,542 step=0, reward=0.0955, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,587 step=0, reward=0.4097, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,639 step=0, reward=0.2541, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,689 step=0, reward=0.2600, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,733 step=0, reward=0.1469, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,780 step=0, reward=-0.0486, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,834 step=0, reward=-0.1500, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,881 step=0, reward=-0.3777, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,932 step=0, reward=-0.3351, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:40,987 step=0, reward=-0.8725, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,037 step=0, reward=-0.6933, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,083 step=0, reward=-0.7455, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,136 step=0, reward=-1.0850, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,180 step=0, reward=-1.1325, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,223 step=0, reward=-0.4445, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:41,336 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:42,899 step=0, reward=-11.0377, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:42,945 step=0, reward=-0.0075, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:42,996 step=0, reward=-0.1128, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:43,044 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
