learn_step,loss
0,0.1000
1,0.2705
2,0.1119
3,5.4485
4,0.1445
5,0.2037
6,0.8161
7,0.1453
8,0.1455
9,0.1395
10,0.1789
11,0.2214
12,5.9368
13,0.1242
14,0.1895
15,0.2946
16,0.2883
17,1.2157
18,0.1213
19,0.1971
20,0.1496
21,0.2249
22,0.1824
23,0.3394
24,0.4266
25,0.5396
26,0.6710
27,42.6798
28,0.1562
29,0.1687
30,0.1781
31,0.0897
32,0.2064
33,0.1328
34,0.0975
35,5.5968
36,0.3053
37,0.3368
38,0.3624
39,0.4233
40,0.0913
41,0.1453
42,0.1375
43,0.1533
44,0.2370
45,0.1168
46,0.1265
47,0.1906
48,0.3881
49,0.1328
50,0.1752
51,0.2367
52,0.1021
53,0.3055
54,0.1615
55,50.3232
56,0.2172
57,0.1548
58,0.1868
59,49.6582
60,0.2226
61,0.1648
62,0.3076
63,0.3317
64,0.4776
65,0.7590
66,0.8746
67,1.0068
68,0.6281
69,0.9422
70,0.7915
71,0.2287
72,0.2360
73,0.1945
74,50.2192
75,0.3231
76,0.2604
77,0.4194
78,5.2965
79,0.8680
80,1.0753
81,0.9565
82,0.8530
83,0.4333
84,0.2093
85,0.1778
86,0.1651
87,0.1205
88,0.2118
89,49.0103
90,44.8708
91,0.2371
92,0.4039
93,0.2825
94,0.1182
95,5.2524
96,0.1682
97,1.2736
98,0.1726
99,49.1714
100,0.2017
101,51.6359
102,36.1377
103,0.3477
104,0.8725
105,1.0845
106,0.2113
107,0.1967
108,0.2638
109,0.2173
110,0.4230
111,0.7390
112,0.9160
113,0.6041
114,3.4706
115,0.2968
116,0.2427
117,0.4367
118,1.3913
119,0.6898
120,0.4760
121,0.3372
122,0.4913
123,0.7885
124,0.4635
125,0.5693
126,0.8917
127,23.5011
128,0.2087
129,0.1698
130,0.1249
131,0.1475
132,0.1740
133,0.1803
134,0.3334
135,0.3210
136,0.8151
137,0.0836
138,0.1672
139,0.1099
140,0.1775
141,0.2283
142,0.1397
143,0.1230
144,0.1717
145,0.1534
146,0.1146
147,0.1564
148,0.1843
149,0.2338
150,0.2981
151,0.3104
152,0.7468
153,0.8542
154,1.0089
155,1.0013
156,2.3670
157,0.1895
158,0.2396
159,46.2018
160,35.7975
161,0.1568
162,0.2265
163,0.4009
164,0.1765
165,1.0366
166,1.1054
167,1.8133
168,0.3340
169,0.3221
170,0.8762
171,0.1284
172,0.1095
173,0.1389
174,0.1264
175,44.0314
176,0.2074
177,0.1960
178,0.5140
179,0.3374
180,0.4222
181,0.6710
182,1.2128
183,1.4512
184,1.2213
185,2.5778
186,0.1124
187,0.1454
188,23.3530
189,0.1541
190,0.2015
191,0.6213
192,0.3229
193,0.7616
194,0.7265
195,0.1341
196,0.1255
197,0.3763
198,0.2260
199,0.1750
200,36.9043
201,0.3488
202,0.2897
203,0.6167
204,0.9859
205,3.7962
206,1.9292
207,1.9199
208,1.5129
209,1.8386
210,0.1389
211,0.1282
212,0.1399
213,0.1249
214,0.1288
215,0.1869
216,0.1548
217,0.2404
218,0.8346
219,0.5005
220,0.4935
221,0.8010
222,1.0243
223,1.3193
224,0.6722
225,0.1329
226,0.1834
227,0.1195
228,0.2653
229,0.0805
230,0.2789
231,0.2540
232,0.3384
