episode,avg_reward
0,-0.0065
1,0.0000
2,-0.0365
3,0.0000
4,-0.0307
5,0.0000
6,0.0372
7,0.0000
8,0.0445
9,0.0000
10,0.0557
11,0.0000
12,-0.0804
13,0.0000
14,-0.0601
15,0.0000
16,0.0599
17,0.0000
18,0.0601
19,0.0000
20,0.0594
21,0.0000
22,-0.0524
23,0.0000
24,0.0256
25,0.0000
26,-0.0176
27,0.0000
28,-0.0694
29,0.0000
30,-0.0785
31,0.0000
32,-0.0813
33,0.0000
34,0.0581
35,0.0000
36,-0.0810
37,0.0000
38,-0.0638
39,0.0000
40,0.0466
41,0.0000
42,-0.0570
43,0.0000
44,0.0518
45,0.0000
46,-0.0772
47,0.0000
48,0.0444
49,0.0000
50,-0.0489
51,0.0000
52,-0.0962
53,0.0000
54,-0.0418
55,0.0000
56,0.0618
57,0.0000
58,-0.0810
59,0.0000
60,-0.0614
61,0.0000
62,0.0278
63,0.0000
64,-0.0057
65,0.0000
66,-0.4067
67,0.0000
68,-0.0719
69,0.0000
70,0.0121
71,0.0000
72,-0.0643
73,0.0000
74,-0.0264
75,0.0000
76,0.0394
77,0.0000
78,0.0924
79,0.0000
80,-0.0687
81,0.0000
82,-0.0648
83,0.0000
84,-0.0634
85,0.0000
86,-0.0850
87,0.0000
88,0.0285
89,0.0000
90,0.0510
91,0.0000
92,-0.0425
93,0.0000
94,-0.0804
95,0.0000
96,0.0133
97,0.0000
98,-0.0402
99,0.0000
100,-0.0231
101,0.0000
102,-0.0120
103,0.0000
104,-0.0813
105,0.0000
106,-0.0439
107,0.0000
108,0.0533
109,0.0000
110,-0.0236
111,0.0000
112,0.0446
113,0.0000
114,-0.0649
115,0.0000
116,-0.0722
117,0.0000
118,0.0273
119,0.0000
120,0.0224
121,0.0000
122,-0.0435
123,0.0000
124,0.0206
125,0.0000
126,0.0557
127,0.0000
128,0.0644
129,0.0000
130,-0.0767
131,0.0000
132,-0.0488
133,0.0000
134,0.0616
135,0.0000
136,-0.0273
137,0.0000
138,0.0563
139,0.0000
140,0.0350
141,0.0000
142,-0.0759
143,0.0000
144,0.0297
145,0.0000
146,0.0827
147,0.0000
148,0.0198
149,0.0000
150,-0.0597
151,0.0000
152,0.0491
153,0.0000
154,-0.0811
155,0.0000
156,0.0647
157,0.0000
158,0.0726
159,0.0000
160,0.0044
161,0.0000
162,-0.0068
163,0.0000
164,-0.0057
165,0.0000
166,-0.0636
167,0.0000
168,-0.0445
169,0.0000
170,-0.0629
171,0.0000
172,0.0748
173,0.0000
174,0.0577
175,0.0000
176,-0.0034
177,0.0000
178,0.0792
179,0.0000
180,-0.0582
181,0.0000
182,0.0055
183,0.0000
184,-0.0302
185,0.0000
186,-0.0518
187,0.0000
188,0.0736
189,0.0000
190,0.0608
191,0.0000
192,-0.0907
193,0.0000
194,0.0964
195,0.0000
196,0.0687
197,0.0000
198,0.0757
199,0.0000
200,0.0216
201,0.0000
202,-0.0073
203,0.0000
204,-0.0750
205,0.0000
206,0.0026
207,0.0000
208,0.0536
209,-0.0535
210,-0.0841
211,-0.0451
212,-0.0658
213,-0.0445
214,0.0423
215,-0.0581
216,-0.0305
217,0.0101
218,0.0586
219,0.0321
220,0.0356
221,-0.0246
222,-0.0849
223,0.1342
224,0.0311
225,0.0150
226,-0.0679
227,-0.0677
228,0.0000
229,-0.0802
230,0.0000
231,0.0802
232,0.0000
233,0.0576
234,0.0000
235,0.0928
236,0.0000
237,0.0632
238,0.0000
239,-0.0276
240,0.0000
241,-0.0621
242,0.0000
243,-0.0567
244,0.0000
245,-0.0544
246,0.0000
247,0.0027
248,0.0000
249,-0.0170
250,0.0000
251,0.0526
252,0.0000
253,-0.0041
254,0.0000
255,0.0413
256,0.0000
257,0.0709
258,0.0000
259,0.0370
260,0.0000
261,0.0127
262,0.0000
263,-0.0072
264,0.0000
265,0.0813
266,0.0000
267,0.0730
268,0.0000
269,0.0939
270,0.0000
271,0.1014
272,0.0000
273,0.0912
274,0.0000
275,-0.0335
276,0.0000
277,0.0820
278,0.0000
279,-0.0606
280,0.0000
281,0.0436
282,-0.0523
283,0.0093
284,0.0786
285,-0.0433
286,0.0823
287,-0.0340
288,0.0135
289,-0.0901
290,-0.0482
291,-0.0106
292,-0.0586
293,-0.0120
294,-0.0741
295,0.0275
296,0.0856
297,-0.0303
298,0.0627
299,0.0906
300,-0.0240
301,-0.0392
302,0.0275
303,-0.0274
304,-0.0133
305,0.0413
306,0.0637
307,0.1184
308,-0.0577
309,0.0687
310,-0.0791
311,0.0319
312,-0.0790
313,0.1140
314,-0.0680
315,-0.0502
316,0.0399
317,0.0612
318,0.0345
319,0.0630
320,0.0242
321,-0.0594
322,0.0424
323,0.0203
324,-0.0417
325,0.0191
326,0.0285
327,0.0233
328,0.0688
329,-0.0565
330,0.0000
331,0.0429
332,0.0000
333,0.1773
334,0.0000
335,-0.0787
336,0.0000
0,-0.0794
1,0.0000
2,-0.0620
3,0.0000
4,-0.0480
5,0.0000
6,-0.0695
7,0.0000
